semana,vacaciones,playa
16/02/2014,7,36
23/02/2014,6,36
02/03/2014,8,39
09/03/2014,8,43
16/03/2014,8,42
23/03/2014,10,42
30/03/2014,10,43
06/04/2014,19,49
13/04/2014,19,64
20/04/2014,12,54
27/04/2014,10,48
04/05/2014,7,40
11/05/2014,7,43
18/05/2014,7,41
25/05/2014,8,40
01/06/2014,7,40
08/06/2014,8,37
15/06/2014,8,40
22/06/2014,10,41
29/06/2014,11,45
06/07/2014,12,49
13/07/2014,17,50
20/07/2014,13,56
27/07/2014,11,53
03/08/2014,14,47
10/08/2014,9,45
17/08/2014,7,38
24/08/2014,5,35
31/08/2014,6,35
07/09/2014,6,34
14/09/2014,5,34
21/09/2014,5,33
28/09/2014,5,32
05/10/2014,5,31
12/10/2014,6,34
19/10/2014,6,34
26/10/2014,7,32
02/11/2014,6,36
09/11/2014,6,35
16/11/2014,7,38
23/11/2014,8,35
30/11/2014,8,34
07/12/2014,11,35
14/12/2014,16,40
21/12/2014,12,46
28/12/2014,10,53
04/01/2015,14,44
11/01/2015,8,45
18/01/2015,7,43
25/01/2015,7,43
01/02/2015,6,40
08/02/2015,6,38
15/02/2015,7,42
22/02/2015,7,43
01/03/2015,9,43
08/03/2015,10,45
15/03/2015,12,46
22/03/2015,25,53
29/03/2015,25,82
05/04/2015,15,61
12/04/2015,12,48
19/04/2015,8,51
26/04/2015,6,52
03/05/2015,7,46
10/05/2015,6,43
17/05/2015,7,46
24/05/2015,7,44
31/05/2015,8,42
07/06/2015,8,44
14/06/2015,9,50
21/06/2015,10,48
28/06/2015,13,51
05/07/2015,15,55
12/07/2015,18,60
19/07/2015,14,61
26/07/2015,14,62
02/08/2015,12,59
09/08/2015,12,53
16/08/2015,14,48
23/08/2015,11,49
30/08/2015,8,44
06/09/2015,8,41
13/09/2015,6,41
20/09/2015,6,38
27/09/2015,6,37
04/10/2015,6,39
11/10/2015,6,41
18/10/2015,7,39
25/10/2015,7,37
01/11/2015,7,39
08/11/2015,7,42
15/11/2015,7,39
22/11/2015,8,37
29/11/2015,10,38
06/12/2015,12,39
13/12/2015,18,43
20/12/2015,14,50
27/12/2015,12,60
03/01/2016,16,53
10/01/2016,9,48
17/01/2016,8,47
24/01/2016,6,45
31/01/2016,8,44
07/02/2016,7,44
14/02/2016,8,44
21/02/2016,9,45
28/02/2016,9,45
06/03/2016,11,48
13/03/2016,23,55
20/03/2016,23,83
27/03/2016,15,65
03/04/2016,12,50
10/04/2016,7,46
17/04/2016,6,49
24/04/2016,6,47
01/05/2016,6,48
08/05/2016,6,46
15/05/2016,6,49
22/05/2016,7,48
29/05/2016,8,47
05/06/2016,9,52
12/06/2016,9,50
19/06/2016,9,50
26/06/2016,11,52
03/07/2016,12,58
10/07/2016,15,59
17/07/2016,16,64
24/07/2016,14,68
31/07/2016,12,65
07/08/2016,9,69
14/08/2016,7,57
21/08/2016,8,44
28/08/2016,6,41
04/09/2016,6,42
11/09/2016,6,46
18/09/2016,6,43
25/09/2016,6,39
02/10/2016,5,41
09/10/2016,6,41
16/10/2016,6,41
23/10/2016,7,41
30/10/2016,7,42
06/11/2016,7,43
13/11/2016,7,44
20/11/2016,9,45
27/11/2016,10,41
04/12/2016,10,41
11/12/2016,15,44
18/12/2016,16,55
25/12/2016,12,69
01/01/2017,14,60
08/01/2017,11,59
15/01/2017,9,78
22/01/2017,8,52
29/01/2017,8,51
05/02/2017,8,50
12/02/2017,8,47
19/02/2017,10,51
26/02/2017,11,54
05/03/2017,12,54
12/03/2017,11,54
19/03/2017,14,58
26/03/2017,15,56
02/04/2017,26,63
09/04/2017,26,93
16/04/2017,16,76
23/04/2017,12,63
30/04/2017,8,61
07/05/2017,8,55
14/05/2017,8,55
21/05/2017,8,56
28/05/2017,8,52
04/06/2017,9,57
11/06/2017,9,57
18/06/2017,11,60
25/06/2017,12,60
02/07/2017,14,63
09/07/2017,15,61
16/07/2017,16,69
23/07/2017,17,73
30/07/2017,13,71
06/08/2017,11,66
13/08/2017,10,58
20/08/2017,8,50
27/08/2017,6,45
03/09/2017,6,45
10/09/2017,6,43
17/09/2017,5,38
24/09/2017,6,42
01/10/2017,5,43
08/10/2017,6,43
15/10/2017,6,44
22/10/2017,7,46
29/10/2017,8,48
05/11/2017,8,48
12/11/2017,9,47
19/11/2017,8,46
26/11/2017,10,43
03/12/2017,11,46
10/12/2017,13,48
17/12/2017,18,56
24/12/2017,12,70
31/12/2017,14,72
07/01/2018,12,57
14/01/2018,10,58
21/01/2018,8,55
28/01/2018,8,53
04/02/2018,8,52
11/02/2018,9,50
18/02/2018,9,61
25/02/2018,13,54
04/03/2018,13,62
11/03/2018,14,63
18/03/2018,24,69
25/03/2018,25,100
01/04/2018,15,77
08/04/2018,12,57
15/04/2018,8,53
22/04/2018,8,56
29/04/2018,8,55
06/05/2018,7,50
13/05/2018,9,56
20/05/2018,9,57
27/05/2018,9,60
03/06/2018,11,55
10/06/2018,10,61
17/06/2018,10,61
24/06/2018,11,77
01/07/2018,13,62
08/07/2018,15,68
15/07/2018,17,78
22/07/2018,15,81
29/07/2018,13,75
05/08/2018,11,68
12/08/2018,9,57
19/08/2018,9,49
26/08/2018,7,47
02/09/2018,6,46
09/09/2018,7,45
16/09/2018,7,44
23/09/2018,7,45
30/09/2018,6,45
07/10/2018,7,45
14/10/2018,7,45
21/10/2018,7,40
28/10/2018,8,50
04/11/2018,8,48
11/11/2018,8,46
18/11/2018,9,50
25/11/2018,11,48
02/12/2018,12,47
09/12/2018,14,49
16/12/2018,21,60
23/12/2018,11,77
30/12/2018,15,76
06/01/2019,14,63
13/01/2019,9,62
20/01/2019,9,59
27/01/2019,9,62
03/02/2019,8,61
10/02/2019,10,61
